ULTIMOS REGISTROS:

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 20:42:44
Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:51:57

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:51:57

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:51:57

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:51:57

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:58:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:58:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:58:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:58:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:58:18

Avión: VUE3245| Origen:BILBAO| Destino: LYON | Hora despegue: 13:58:18

Avión: LU4954| Origen:BILBAO| Destino: MUNICH | Hora despegue: 13:58:18

Avión: AE2325| Origen:BILBAO| Destino: MILAN | Hora despegue: 13:58:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 14:9:48

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 14:9:48

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 14:9:48

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 14:9:48

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 14:9:48

Avión: VUE3245| Origen:BILBAO| Destino: LYON | Hora despegue: 14:9:48

Avión: LU4954| Origen:BILBAO| Destino: MUNICH | Hora despegue: 14:9:48

Avión: AE2325| Origen:BILBAO| Destino: MILAN | Hora despegue: 14:9:48

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 18:33:2

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 18:33:2

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 18:33:2

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 18:33:2

Avión: IB5805| Origen:MADRID| Destino: BILBAO | Hora despegue: 0:31:35

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 0:44:36

Avión: IB5805| Origen:MADRID| Destino: BILBAO | Hora despegue: 5:15:36
